Content-based image retrieval for fabric images: A survey,"In recent years, a great deal of research has been conducted in the area of fabric image retrieval, especially the identification and classification of visual features. One of the challenges associated with the domain of content-based image retrieval (CBIR) is the semantic gap between low-level visual features and high-level human perceptions. Generally, CBIR includes two main components, namely feature extraction and similarity measurement. Therefore, this research aims to determine the content-based image retrieval for fabric using feature extraction techniques grouped into traditional methods and convolutional neural networks (CNN). Traditional descriptors deal with low-level features, while CNN addresses the high-level, called semantic features. Traditional descriptors have the advantage of shorter computation time and reduced system requirements. Meanwhile, CNN descriptors, which handle high-level features tailored to human perceptions, deal with large amounts of data and require a great deal of computation time. In general, the features of a CNN's fully connected layers are used for matching query and database images. In several studies, the extracted features of the CNN's convolutional layer were used for image retrieval. At the end of the CNN layer, hash codes are added to reduce search time. © 2021 Institute of Advanced Engineering and Science. All rights reserved.",CBIR CNN Fabric image Feature extraction Traditional descriptor 
Comparative study on data mining classification methods for cervical cancer prediction using pap smear results,"The number of woman with cervical cancer in Indonesia is getting higher. Indonesia becomes the country with the highest number of women with cervical cancer in the world. Cervical cancer became the highest cause of cancer deaths in women globally. There has been a lot of research using data mining techniques with variety of different data mining models that can be used for analyzing cervical cancer. In this research, data that be used were obtained from the medical records of the Pap smear test results. There are 38 symptoms and 7 classes. Naïve Bayes, Support Vector Machines (SVM), and Random Forest Tree was used to evaluate the performance of the classifier. The performance matric that used in this study are accuracy, recall, precision, and ROC curve. Based on the performance matric, Random Forest Tree is the best classifier among other classifiers to classify Pap smear results. © 2016 IEEE.",Cervical cancer; Classification; Data mining; Naïve bayes classifier; Pap smear; Random forest tree; Support vector machines Biomedical engineering; Data mining; Decision trees; Diseases; Forestry; Sodium; Support vector machines; Bayes Classifier; Cervical cancers; Comparative studies; Data mining models; Medical record; Mining classification; Pap smear; Random forests; Classification (of information)
Learning Performance Prediction with Imbalanced Virtual Learning Environment Students’ Interactions Data,"One of the critical aspects in completing study in a virtual learning environment (VLE) is the student behavior when interacting with the system. However, in real cases, most of the student behavior data have imbalanced label distribution. This imbalanced dataset affects the model performance of machine learning algorithms significantly. This study attempts to examine several resampling methods such as random undersampling (RUS), oversampling with synthetic minority oversampling technique (SMOTE), and hybrid sampling (SMOTEENN) to resolve the imbalanced data issue. Several machine learning (ML) classifiers are employed to evaluate the efficiency of the resampling methods, including Naïve Bayes (NB), Logistic Regression (LR), and Random Forest (RF). The experiment results indicate that the performance of classifiers is improved utilizing more balanced dataset. Furthermore, the Random Forest classifier has accomplished the best result among all other models while using SMOTEENN as a resampling approach. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.", 
Innovative and sustainable research-based learning & community services during lockdown by COVID-19,"The COVID-19 pandemic has caused severe human suffering and substantial damage to life throughout the world. The lockdown caused by COVID-19 also significantly impacted three main elements in UGM education processes, including teaching, research, and community service, where most of their activities involving a large group of people, field, and outdoor programs. Innovation in learning, research, and community service without mobility from home is needed to overcome the impact of Covid-19. Methods of internet-based learning, research, and community service must be established during the pandemic to generate a reliable yet efficient blended program that can accommodate their outcomes. This paper will generally look at the initiative and strategy taken by UGM in planning and developing a sustainable research-based learning and community services. It is based on integrated research-based learning and community service, which integrates former individual education, research, and community service programs. The policy of considering COVID-19 as an emergency at UGM has eliminated teaching and learning activities on campus and replaced them with online learning activities from home. The application of the Three-Centra Education concept, which consists of families, schools, and communities, is truly relevant for developing research-based learning and service programs. Besides, academic and non-academic atmospheres to support integrated education, research, and community service processes in universities in the current era must be developed under millennial students’ style. The millennial approach's adjustment is possible by developing tutoring systems through student-centered learning with the edutainment process that triggers the learning system to be more enjoyable, but the quality is still maintained. This quality of online learning during an emergency in UGM has been improved based on conducted surveys indicating that the advantages of online lectures, according to students, are its flexibility and relaxation; no preparation needed to visit campus; more courageous to ask questions during lecture; most materials are well documented for rereading; time and cost-efficient. Meanwhile, online learning disadvantages covered the fact that the lectures confused with online assignments that caused an excessive workload; the lecturers need to be more interactive and communicative; the schedule should not be frequently changed until later evening, and decrease concentration ability among students. University leaders, the academic community, including alumni, have been building solidarity, compassion, and empathy through food assistance, credit, academic fee reduction, non-bureaucratic procedures for students affected by COVID-19. Co-learning system and work from home in the cyber campus 4.0 for the millennial student in the era of lockdown and destructive innovation with the support of sophisticated information technology and significant data access seems to be the most appropriate learning media. The empowerment online learning system must implement the principles of win–win solution, co-creation, co-finance, flexibility, and sustainability of the proposed programs to strengthen education's real meaning during this pandemic. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.", 
Distributed Classifier for SDGs Topics in Online News using RabbitMQ Message Broker,"Internet data has grown very fast and becomes very large. Thus continuous improvement will always be required to face this challenge. The Sustainable Development Goals (SDGs) are defined by the United Nations (UN) to encourage improvements in the field of life in each country. We proposed a combination of Distributed System (RabbitMQ) and Machine Learning (Naïve Bayes Classifier) as one of the support to measure the achievement level of Sustainable Development Goals (SDGs) in Indonesia. The methods will categorize the Detik.com news into two classes; the relevant to SDGs of Indonesia and the irrelevant to SDGs of Indonesia. Our work shows that the use of the load-balance feature in RabbitMQ could shorten the processing time of the Naïve Bayes Classifier. RabbitMQ as a load-balancer can divide the workload equally, thus reducing the latency time of the Naïve Bayes Classifier classification process by 30.3 percent. © 2020 IOP Publishing Ltd. All rights reserved.", Distributed database systems; Sustainable development; Bayes Classifier; Classification process; Continuous improvements; Distributed systems; Internet data; Message brokers; Processing time; United Nations; Planning
A Review of Automated Testing Approach for Software Regression Testing,"One of the important parts of software development life-cycle is software testing and one of which is regression testing. Regression testing is done to verify that previously detected errors have been corrected correctly and no new errors arise as a result of incorrect corrections so that the quality of the software being tested is maintained. It is important and must be done. However, the conventional method is not efficient as it is time-consuming, not reusable, and prone to error. In this paper, a comprehensive review of the automated testing approach is presented to be used by other researchers in this field of study. The review result shows that the automated testing approach is suitable to enhance the regression testing with some plausible options of tools e.g. Selenium, SAHI, and Robot-framework. Furthermore, some plausible options of execution methods are also discussed in this paper. This review further concludes that the parallel execution method is considered as a promising choice to conduct the most efficient regression testing process. © Published under licence by IOP Publishing Ltd.", 
Comparison Clustering Performance Based on Moodle Log Mining,"The use of digital data now saves a lot of information, but still raw and not in the form of knowledge that can be directly seen, therefore we need a data processing to get useful particular understanding from raw data. Data Mining has an important role to process and find useful information from data. This process is also called Knowledge Discovery. Educational Data Mining is a Knowledge Discovery process in the world of education using data mining techniques. One method used in data mining is clustering. By using clustering analysis techniques, data can be grouped into groups without the need for prior knowledge (previous knowledge), so that the data is grouped based on similarity of patterns. This paper compares the K-means, Hierarchical and Louvain clustering methods to see the most appropriate clustering technique in analyzing log activity data in Moodle Learning Management System (LMS). The results of clustering are measured using the Silhouette Coefficient, and then we compare the values and distribution between clusters. In conclusion, Hierarchical clustering produces the highest Silhouette Coefficient value and also this algorithm can detect outlier data as new cluster. Louvain clustering perform very well to find cluster groups in new dataset as the algorithm does not required the number of clusters to be specified before. Louvain clustering can divide more evenly and precision compare to K-means and hierarchical cluster techniques. © 2020 Published under licence by IOP Publishing Ltd.", 
The usability testing on E-TOEFLGATE media by questionnaire,"E-TOEFL is an alternative learning media designed to improve students' English skills. In order to create satisfaction in the E-TOEFL media that has been designed, it is needed a test by using usability testing. This study aims to analyze whether the E-TOEFL media has acceptability based on usability criteria. The research method was conducted by using the USE questionnaire as a research instrument consisting of 30 questions. The parameters used to measure usability are Usefulness, Ease of Use, Ease of Learning, and Satisfaction. Based on the four parameters which were used in the USE Questionnaire, a usability test was performed on the designed E-TOEFL media. The result of test the with the USE Questionnaire shows that the average value obtained is 80.42% with the meaning of the word E-TOEFL media testing which is designed to have good usability values and the system can be implemented at the University. © 2020, Institute of Advanced Scientific Research, Inc.. All rights reserved.",E-Learning; E-TOEFL; Questionnaire; Testing; Usability; Use 
Parallelized Execution of Serenity Framework Based Automated Test: A Case Study,"Software testing is one of the most important parts of the software development cycle. One of the important software testings to conduct is regression testing. Regression testing is done to verify that no new errors arise as a result of incorrect corrections so that the quality of the software being tested is maintained. The regression testing process is an important process to be carried out on a software product. The use of the automated test is considered as an effective approach for regression testing because the manual regression testing process for each release of software changes will be vulnerable to tester mistake. Serenity framework is one of a framework for conducting automated testing, that is structured, has an automated test report generation feature, and is easy to use. However, in the previous research, the execution of automated tests is done serially which is inefficient in terms of time. To overcome this problem, a parallelization approach is presented in this research. With this parallelization, the regression test has been successfully carried out in a more efficient way and in a more effective way compared to the manual regression tests and the serial test execution. © 2019 IEEE.",automated test; e-learning; parallel computing; regression testing; software quality assurance; software testing Automation; Computer software selection and evaluation; E-learning; Parallel processing systems; Quality assurance; Regression analysis; Software design; Testing; Automated test; Automated testing; Effective approaches; Regression testing; Software development cycles; Software products; Software quality assurance; Software testings; Software testing
Identifying Smartphone Based Features for Automatic Learning Style Identification Approaches Using Correlation Tests,"Learning style identification is attracting considerable interest due to its potential to solve problems in human learning activities and has been widely utilized in learning management systems. Despite this interest, no one has studied learning style identification in an informal learning environment. Moreover, informal learning even plays the biggest role in human lifelong education. This study thus proposes smartphones as a new plausible observation environment, for their uses match the characteristics of informal learning. However, it is not yet known which smartphone parameters are reliable to be used as features in learning style identification models. Therefore, this study aims to find reliable features from smartphones by conducting the Spearman's rank correlation tests between several potential smartphone parameters and the Visual, Aural, Read/Write, Kinesthetic (VARK) learning style scores. The parameters were collected using a dedicated application and tested in two scenarios. We treated the applications individually without clustering in the first scenario, while we clustered the applications by their functions in the second one. The result revealed that there were eight potential features in total. This study has opened more possibilities to improve the development of the learning style identification system. © 2019 IEEE.",Correlation test; Informal learning; Learning style; Smartphone; VARK Computer aided instruction; Smartphones; Automatic-learning; Correlation tests; Informal learning; Informal learning environments; Learning management system; Life-long educations; Potential features; Spearman's rank correlation; Learning systems
Knowledge management system design for IT troubleshooting (case study biro ti BPK Ri),"Many studies have addressed the importance of knowledge management on organizational outcomes such as organizational learning, innovation, product quality, besides creative, financial, economic and organizational performance. BPK RI, like other organizations in the world, is relied more and more heavily to IT to do its primary job (audit) and in its daily routine. With rapid development in IT in recent years, BPK RI needs to make sure it has competent IT staffs. One competency, among other, needed is IT troubleshooting. IT troubleshooting is important because it can determine the whole operations of BPK RI. Faster response and faster problem-solving will make sure BPK RI can do business as usual. To address this problem, BPK RI has initiated to implement a knowledge management system. The result of this research is KMS design for IT troubleshooting. It covers the externalization, socialization for knowledge sharing, exchange, routines, and directions processes that is deemed important by BPK RI. © 2019 IEEE",BPK RI; IT troubleshooting; Knowledge management; Knowledge management system Knowledge acquisition; Knowledge based systems; BPK RI; Business-as-usual; Daily routines; Knowledge management system; Knowledge-sharing; Organizational learning; Organizational outcomes; Organizational performance; Knowledge management
Logistic Regression based Feature Selection and Two-Stage Detection for EEG based Motor Imagery Classification,"Electroencephalogram (EEG) based motor imagery (MI) classification requires efficient feature extraction and consistent accuracy for reliable brain-computer interface (BCI) systems. Achieving consistent accuracy in EEGMI classification is still big challenge according to the nature of EEG signal which is subject dependent. To address this problem, we propose a feature selection scheme based on Logistic Regression (LRFS) and two-stage detection (TSD) in channel instantiation approach. In TSD scheme, Linear Discriminant Analysis was utilized in first-stage detection; while Gradient Boosted Tree and k-Nearest Neighbor in second-stage detection. To evaluate the proposed method, two publicly available datasets, BCI competition III-Dataset IVa and BCI competition IV-Dataset 2a, were used. Experimental results show that the proposed method yielded excellent accuracy for both datasets with 95.21% and 94.83%, respectively. These results indicated that the proposed method has consistent accuracy and is promising for reliable BCI systems. © 2021. International Journal of Intelligent Engineering and Systems. All Rights Reserved.",Feature selection; Gradient boosted tree; Motor imagery; Reliable BCI; Two-stage detection 
Improving normalization method of higher-order neural network in the forecasting of oil production,"One of the challenges in the oil industry is to predict well production in the absence of frequent flow measurement. Many researches have been done to develop production forecasting in the petroleum area. One of the machine learning approach utilizing higher-order neural network (HONN) have been introduced in the previous study. In this study, research focus on normalization impact to the HONN model, specifically for univariate time-series dataset. Normalization is key aspect in the pre-processing stage, moreover in neural network model. © The Authors, published by EDP Sciences, 2020.",Higher-order neural network; Normalization.; Oil production forecast; Time-series Forecasting; Petroleum industry; Higher order neural network; Higher order neural networks (Honn); Machine learning approaches; Neural network model; Normalization methods; Production forecasting; Univariate time series; Well production; Neural networks
Classification of Learning Styles in Multimedia Learning Using Eye-Tracking and Machine Learning,"The existence of a multimedia learning system still presents the same material for every student. Educational theory suggests that learning content ideally should be adaptive by considering each student's learning style. To make learning more optimal, it is necessary to detect learning styles. Several learning detection approaches have been implemented. Conventional methods such as student assessment tests and interviews tend to be more subjective. An objective method of eye-tracking has been researched but limited as a validation tool for differentiating learning styles. To overcome the above mentioned problems, this study proposes a new approach using machine learning and eye-tracking techniques. The experiment and analysis involved 68 students. There were 23 male participants and 45 female participants. In the experiment, participants were assigned to interact with learning content and their eye movements were recorded using an eye-tracker sensor. From the experimental results using three classification algorithms-SVM, Naïve Bayes, and Logistic Regression-and using SVM-RFE as a feature selection method, the best model was achieved by Naïve Bayes algorithm through three features selected from SVM-RFE method. The model yielded 71% of accuracy, 60% of sensitivity, and 75% of specificity. This empirical study provides an opportunity for machine learning and eye-tracking approaches to automatically classify learning styles. These results can be used as guidelines for developing an adaptive multimedia learning system by considering students' learning styles. © 2020 IEEE.",classification; eye-tracking; learning styles; machine learning; multimedia learning E-learning; Eye movements; Eye tracking; Logistic regression; Students; Support vector machines; Adaptive multimedia; Classification algorithm; Conventional methods; Detection approach; Educational theory; Experiment and analysis; Feature selection methods; Multi-media learning; Learning systems
A Survey of Learning Style Detection Method using Eye-Tracking and Machine Learning in Multimedia Learning,"Current utilization of multimedia learning environment focuses on student-centered approach. This approach is based on a theory stating that learning styles affect individuals in information processing. Based on prior works, there are three main approaches to distinguish learning styles: conventional approach - such as interview and self-reporting, artificial-intelligence-based approach, and sensor-based approach. Unfortunately, there is no comparative analysis that addresses strengths and limitations of these approaches. Thus, there is no information on how and when to use these approaches appropriately. To address this limitation, we present a brief literature review of several studies in distinguishing learning styles, including their strengths and limitations. We also present insights on potential methods of detecting learning styles in multimedia learning based on eye movement data and machine learning algorithms. Our paper is useful as a guideline for developing intelligent e-learning systems based on eye tracking and machine learning. © 2020 IEEE.",cognitive style; eye-tracking; learning style; machine learning; multimedia learning Computer aided instruction; E-learning; Eye movements; Eye tracking; Machine learning; Comparative analysis; Conventional approach; Detection methods; Eye movement datum; Intelligent e-learning systems; Literature reviews; Multi-media learning; Student-centered approach; Learning algorithms
The use of decision table for reducing complex rules in software testing,"The testing phase is always one of the important stages of developing software. Without this stage, software errors will be difficult to find at the beginning of software development. This study uses a decision table method that aims to shorten the rule of software testing. The advantage of this method is that it can help make fewer rule combinations for testing. This study uses a medical information system as a case study. In the medical information system, 20 test cases were identified early in the software testing process. Of the 20 test cases, seven test cases that have the same characteristics so that they can be combined into only 13 test cases. Therefore, it can be concluded that the decision table method can reduce software testing time. © Published under licence by IOP Publishing Ltd.", 
Comparing method equivalence class partitioning and boundary value analysis with study case add medicine module,"Software Testing is helpful to alleviate the developers' task in improving the system. But in doing software testing, there are problems faced by developers, including information that become a benchmark in the feasibility of software testing. Many factors are used to obtain information or benchmarks. These factors can include line code, program structure, business processes and the time used in conducting trials. A test case is needed to ensure one of the two testing processes. The first is to make sure the data type of the entered data. The method of this process is called Equivalence Class Partitioning (ECP). The second is ensuring the lower bound value, the middle bound value, and the upper limit value of the number of strings as inputs of a system module. The method of this process is called Boundary Value Analysis (BVA). The purpose of this study is to compare the ECP and BVA methods. The expected result of this study is to find out the best method between ECP or BVA. Comparison of calculations using standard matrix testing. This study uses 5 parameters as benchmarks. Based on this study, the ECP method is superior to BVA with 5 parameters used as benchmarks. © Published under licence by IOP Publishing Ltd.", 
Improving multi-class EEG-motor imagery classification using two-stage detection on one-versus-one approach,"The multi-class motor imagery based on Electroencephalogram (EEG) signals in Brain-Computer Interface (BCI) systems still face challenges, such as inconsistent accuracy and low classification performance due to inter-subject dependent. Therefore, this study aims to improve multiclass EEG-motor imagery using two-stage detection and voting scheme on one-versus-one approach. The EEG signal used to carry out this research was extracted through a statistical measure of narrow window sliding. Furthermore, inter and cross-subject schemes were investigated on BCI competition IV-Dataset 2a to evaluate the effectiveness of the proposed method. The experimental results showed that the proposed method produced enhanced inter and cross-subject kappa coefficient values of 0.78 and 0.68, respectively, with a low standard deviation of 0.1 for both schemes. These results further indicated that the proposed method has an ability to address inter-subject dependent for promising and reliable BCI systems. © 2020 KIPMI",Motor imagery; Multi-class classification; One-versus-one; Two-stage detection 
Distance matrix based keypoint selection for bag-of-visual words model on image classification,"Bag-of-visual words (BoVW) becomes the most popular approach for local features extraction in image classification. A large number of keypoints lead to high computational costs of visual words generation. Iterative keypoint selection (IKS) as the baseline method has been proposed to reduce the number of keypoints by selecting the representative keypoints. However, random initial keypoint of IKS leads to non-repeatable results. Thus, this paper proposes a distance matrix based keypoint selection (DMKS) algorithm to reduce the number of keypoints. The novelty of this algorithm is the number of representative keypoints can be adjusted to obtain a high classification accuracy and the algorithm does not need random initial keypoints. The performance of proposed algorithm is then compared with that of IKS1 and IKS2. Support vector machine (SVM), K-Nearest Neighbor (KNN), and deep learning (DL H2O) classifiers are used to evaluate the algorithms on the public datasets. On Coil-100 and Caltech-101 datasets, DMKS achieves classification accuracy of 90.22% and 41.99%, respectively. Although the accuracy of DMKS is slightly increase, the processing time of DMKS is faster than the baseline methods. DMKS also produces a smaller number of representative keypoints, therefore DMKS can reduce the time-consuming of visual words generation more effectively in BoVW model. © 2020, Intelligent Network and Systems Society.",Bag-of-visual words; Distance matrix; Image classification; Keypoint selection 
Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing,"Incapability of relational database in handling large-scale data triggers the development of NoSQL database that becomes part of a big data ecosystem. NoSQL database has different characteristics compared to the relational database. However, NoSQL database requires data from the relational database as one of the structured data sources. Therefore, data pre-processing is required to ensure proper data migration from a relational database to NoSQL database. This data pre-processing is normally called data transformation. One of the simple and understandable transformation algorithms is graph transforming algorithm. However, the algorithm has a problem in solving a non-simple graph (multigraph). This research proposes an algorithm to overcome several multigraph problems. The experimental work confirms that the algorithm proposed in this research is able to transform data from a relational database to NoSQL schema that has a minimum number of redundant attributes while the data completeness is still maintained. © 1989-2012 IEEE.",graph; loop; multigraph; multiple edges; SQL to NoSQL Big data; Directed graphs; Ecosystems; Mathematical transformations; Metadata; Redundancy; graph; loop; Multigraphs; multiple edges; Nosql database; Relational Database; SQL to NoSQL; Data handling
Unsupervised software defect prediction using median absolute deviation threshold based spectral classifier on signed Laplacian matrix,"Area of interest: The trend of current software inevitably leads to the big data era. There are much of large software developed from hundreds to thousands of modules. In software development projects, finding the defect proneness manually on each module in large software dataset is probably inefficient in resources. In this task, the use of a software defect prediction model becomes a popular solution with much more cost-effective rather than manual reviews. This study presents a specific machine learning algorithm, which is the spectral classifier, to develop a software defect prediction model using unsupervised learning approach. Background and objective: The spectral classifier has been successfully used in software defect prediction because of its reliability to consider the similarities between software entities. However, there are conditional issues when it uses the zero value as partitioning threshold. The classifier will produce the predominantly cluster when the eigenvector values are mostly positives. Besides, it will also generate low clusters compactness when the eigenvector contains outliers. The objective of this study is mainly to propose an alternative partitioning threshold in dealing with the zero threshold issues. Generally, the proposed method is expected to improve the spectral classifier based software defect prediction performances. Methods: This study proposes the median absolute deviation threshold based spectral classifier to carry out the zero value threshold issues. The proposed method considers the eigenvector values dispersion measure as the new partitioning threshold, rather than using a central tendency measure (e.g., zero, mean, median). The baseline method of this study is the zero value threshold based spectral classifier. Both methods are performed on the signed Laplacian matrix to meet the non-negative Laplacian graph assumption. For classification, the heuristic row sum method is used to assign the entity class as the prediction label. Results and conclusion: In terms of clustering, the proposed method can produce better cluster memberships that affect the cluster compactness and the classifier performances improvement. The cluster compactness average of both the proposed and baseline methods are 1.4 DBI and 1.8 DBI, respectively. In classification performance, the proposed method performs better accuracy with lower error rates than the baseline method. The proposed method also has high precision but low in the recall, which means that the proposed method can detect the software defect more precisely, although in the small number in detection. The proposed method has the accuracy, precision, recall, and error rates with average values of 0.79, 0.84, 0.72, and 0.21, respectively. While the baseline method has the accuracy, precision, recall, and error rates with average values of 0.74, 0.74, 0.89, and 0.26, respectively. Based on those results, the proposed method able to provide a viable solution to address the zero threshold issues in the spectral classifier. Hence, this study concludes that the use of the median absolute deviation threshold can improve the spectral based unsupervised software defect prediction method. © 2019, The Author(s).",Median absolute deviation thresholding; Signed Laplacian matrix; Spectral classifier; Unsupervised software defect prediction; Zero thresholding 
Unsupervised software defect prediction using signed Laplacian-based spectral classifier,"The lack of training dataset availability is the most popular issue in the software defect prediction, especially when dealing with new project development. Adopting training dataset from other software projects probably will not be the best solution because of the software metrics heterogeneity issues across projects. Unsupervised approaches have been proposed to address this issue, where the software prediction model is built without training dataset. Spectral classifier is one of these unsupervised approaches that has been applied successfully to address the lack of training dataset. However, this method leaves an issue when the dataset does not meet the requirement of nonnegative Laplacian assumption. This case would be occurred if there were nonnegative values of the adjacency matrix. It is well known that spectral classifier works with the Laplacian matrix, where the Laplacian matrix is constructed by adjacency matrix. In this paper, the signed Laplacian-based spectral classifier is proposed to solve the negative values problem in the adjacency matrix by converting the negative values into absolute values. The experimental results show that the proposed method could improve the performance of unsupervised classifiers compared to the unsigned Laplacian-based spectral classifier method. Hence, the proposed method is strongly suggested as unsupervised software defects prediction for the software projects that have no historical software dataset. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Absolute adjacency matrix; Signed Laplacian; Spectral clustering; Unsigned Laplacian; Unsupervised software defect prediction Clustering algorithms; Defects; Forecasting; Laplace transforms; Matrix algebra; Adjacency matrices; Laplacian matrices; Laplacians; Software defect prediction; Software prediction models; Spectral classifier; Spectral clustering; Unsupervised approaches; Classification (of information)
Enhancement strict avalanche criterion value in robust S-boxes construction using selected irreducible polynomial and affine matrixes,"One indicator that a robust S-box is an ideal strict avalanche criterion value of 0.5. One method for applying the ideal strict avalanche criterion value is the selection of the precise irreducible polynomial and affine matrix. In this paper, we will discuss the robust S-boxes construction with the selected irreducible polynomial r(x) = x 8 + x 5 + x 3 + x 2 + 1 combined with the three selected affine matrixes i.e. t 1, t 2, and t 3. Hence, the combination of selected irreducible polynomial and affine matrixes results in S-box1, S-box2, and S-box3. The test of strict avalanche criterion shows that S-box2 and S-box3 produce the same value of 0.49951. Nonlinearity and bit independence criterion tests are also conducted to complete the S-box testing.This result shows S-box2 and S-box3 are the best S-boxes compared to S-box1 and S- boxes from previous studies. © 2019 IOP Publishing Ltd. All rights reserved.", Physics; Affine matrices; Bit independence criterions; Irreducible polynomials; S-boxes; Strict avalanche criterion; Polynomials
Classification of Radicalism Content from Twitter Written in Indonesian Language using Long Short Term Memory,"Twitter was one of the most influential social media among users. It might give an either positive or negative impact. One of the negative impacts was the presence of radicalism content. In Indonesia radicalism was often connected to the issue of SARA (ethnicity, religion, race, and intergroup relations). It remained a public issue, requiring an analysis to process information related to radicalism. The research aimed to classify radical contents. The classification based on the types of radicalism and non-radicalism. Data were classified using LSTM. In finding higher accuracy, word2vec was used to transform words into vectors. The accuracy showed using LSTM method was compared with that obtained using SVM and k-NN. The two latest methods were the methods used by previous researchers regarding Indonesian radical contents of Twitter. Referring to the findings, LSTM showed higher accuracy 81.60%. © 2019 IEEE.",LSTM; radicalism; text classification; twitter; word2vec Classification (of information); Nearest neighbor search; Social networking (online); Support vector machines; Text processing; LSTM; radicalism; Text classification; twitter; word2vec; Long short-term memory
Handling Imbalance Issue in Hate Speech Classification using Sampling-based Methods,"In a text classification problem, imbalance nature in dataset oftentimes has been disregarded even though it might significantly have an impact on the results of the classification model performance. This issue also occurred in the hate speech detection where most collected datasets are highly unbalanced. Among state-of-the-art methods that deal with classifying disparity data, the sampling-based technique is the most effective approach in classifying an imbalanced data. In this paper, four resampling methods include Random Oversampling (ROS), Synthetic Minority Technique (SMOTE), Adaptive Synthetic (ADASYN) and Random Undersampling (RUS) are used as an answer to the inequality of class distribution in a hate speech dataset. With three basic machine learning classifiers i.e. Support Vector Machine, Logistic Regression and Naïve Bayes, the evaluation results show that the oversampling approach improves the accuracy and the overall performance of three classifiers. Among all resampling techniques and machine learning algorithms, Logistic Regression enforced by ROS performed the best with an overall accuracy of 91 percent and F1-Score of 0.95. © 2019 IEEE.",hate speech; imbalanced data; oversampling; resampling; text classification; undersampling Embedded systems; Learning algorithms; Learning systems; Logistic regression; Support vector machines; Support vector regression; Text processing; Imbalanced data; Over sampling; Resampling; Text classification; Under-sampling; Classification (of information)
Class Activation Mapping-Based Car Saliency Region and Detection for In-Vehicle Surveillance,"This paper describes a class of problem where a detection and localization of car are addressed simultaneously using in-vehicle camera. While the current state-of-the-art researches have tackled the detection problems, in fact, there several rooms for the improvement. One of them is to optimize the detection processes. In this research, we introduce the use of activation map obtained from the last layer of the convolutional network to localize the saliency region of the car and to perform detection of the car objects by collaborating deep architecture trained weight. Our study also finds the benefit of changing the last layer of the network, from fully-connected layer to Global Average Pooling (GAP), which alleviates the overfitting problem. Experiment results on various optimization methods show the impact of the performance, where the proposed GAP-based deep learning and ADAM optimization gives the best results, up to 99.83%. It imply the possibilities of utilizing our method for real case usage scenario. © 2019 IEEE.",Car Detection; Class Activation Map; Deep Learning; Global Average Pooling; Saliency Region Chemical activation; Convolutional neural networks; Network layers; Object detection; Car detection; Convolutional networks; Detection and localization; Global Average Pooling; Optimization method; Over fitting problem; Saliency regions; Vehicle surveillances; Deep learning
Interference Mitigation in Cognitive Radio Network Based on Grey Wolf Optimizer Algorithm,"Cognitive Radio Network (CNR) is a dynamic network where the users can adjust spectrum usage dynamically in accordance to the operational environment to minimize interference. However, it still has a major problem regarding the channel allocation used by the nodes. This problem exists because channel allocations are completely randomly generated so that they might cause interference to users on the same channel. To handle resource allocation problems in the CRN, the authors proposed a solution using the Grey Wolf Optimizer (GWO). This optimizer algorithm is an optimization included in the metaheuristic algorithm with the source of inspiration from the behavior of the gray wolf colony in hunting prey. In this job, Alpha serves as a prime candidate in finding the best channel. The ultimate goal of using this GWO optimization is to get the most optimal channel allocation scheme for each node in the cognitive radio network so that it has minimal interference and maximum network throughput. The authors have modified the fitness function and coding scheme of GWO to get the best share of resources from the CRN. From the simulations tested, the results showed that channel allocation using the GWO algorithm was able to increase throughput and reduce network interference. © 2020 IEEE.",Channel Allocation; Cognitive Radio Network; Grey Wolf Optimizer; Throughput Intelligent systems; Optimization; Radio; Radio interference; Radio systems; Channel allocation; Cognitive radio network; Fitness functions; Interference mitigation; Meta heuristic algorithm; Network interferences; Operational environments; Resource allocation problem; Cognitive radio
